w1gmag,w1gerr,w2gmag,w2gerr,w3gmag,w3gerr,w1mag_2,w1sigm_2,w2mag_2,w2sigm_2,w3mag_2,w3sigm_2,w1gflg,w1flg_2,w2gflg,w2flg_2,w3gflg,w3flg_2,fiberMag_g,fiberMagErr_g,fiberMag_r,fiberMagErr_r,cc_flags
12.86,0.012,12.745,0.013,9.347,0.02,13.036,0.013,12.917,0.014,9.518,0.022,1.0,1.0,1.0,1.0,1.0,1.0,18.68704,0.006531355,18.06352,0.005689008,0000
13.041,0.009,12.802,0.012,9.201,0.013,13.019,0.009,12.77,0.012,9.148,0.013,1.0,1.0,1.0,1.0,1.0,1.0,19.65909,0.01319869,18.70478,0.008171894,0000
12.895,0.009,12.812,0.019,9.478,0.024,13.156,0.009,13.089,0.02,9.819,0.027,0.0,0.0,0.0,0.0,0.0,0.0,18.76926,0.006542063,18.11396,0.005416425,0000
13.421,0.009,13.326,0.02,10.443,0.038,13.458,0.01,13.365,0.02,10.49,0.039,1.0,1.0,1.0,1.0,1.0,1.0,18.32694,0.005488567,17.6654,0.004543769,0000
13.327,0.009,13.213,0.013,10.026,0.014,13.362,0.009,13.252,0.014,10.077,0.014,0.0,0.0,0.0,0.0,0.0,0.0,19.09457,0.007865478,18.29657,0.006245608,0000
13.862,0.014,13.772,0.027,10.933,0.109,13.951,0.015,13.85,0.028,11.011,0.114,1.0,1.0,1.0,1.0,1.0,1.0,18.56277,0.006244955,18.17857,0.006130198,0000
13.656,0.009,13.535,0.024,10.269,0.047,13.727,0.009,13.6,0.025,10.338,0.05,1.0,1.0,1.0,1.0,1.0,1.0,18.94377,0.01009303,18.28169,0.009408468,0000
11.831,0.006,11.793,0.009,9.467,0.026,12.145,0.006,12.129,0.009,9.854,0.027,1.0,1.0,17.0,17.0,1.0,1.0,17.72536,0.003574027,16.91905,0.002943963,0000
13.697,0.01,13.648,0.029,11.154,0.086,13.949,0.011,13.908,0.032,11.424,0.098,0.0,0.0,0.0,0.0,0.0,0.0,19.45395,0.01008156,18.76836,0.008807648,0000
12.486,0.006,12.32,0.008,8.733,0.008,12.557,0.006,12.4,0.008,8.843,0.008,1.0,1.0,1.0,1.0,1.0,1.0,17.46336,0.003925648,16.87832,0.002715102,0000
12.989,0.012,12.867,0.02,9.704,0.037,13.225,0.013,13.124,0.022,10.015,0.042,1.0,1.0,1.0,1.0,1.0,1.0,19.07042,0.01208866,18.30857,0.00965768,d000
13.041,0.011,12.987,0.018,10.409,0.062,13.217,0.011,13.175,0.019,10.642,0.068,0.0,0.0,0.0,0.0,0.0,0.0,1e+20,1e+20,1e+20,1e+20,0000
14.197,0.022,14.157,0.056,11.571,0.143,14.171,0.02,14.138,0.057,11.526,0.217,1.0,1.0,17.0,17.0,1.0,1.0,19.65489,0.01277153,18.85481,0.009332901,0000
12.817,0.009,12.704,0.015,9.469,0.024,13.021,0.009,12.928,0.016,9.744,0.027,17.0,17.0,1.0,1.0,1.0,1.0,1e+20,1e+20,1e+20,1e+20,0000
13.757,0.01,13.713,0.021,10.615,0.031,13.803,0.01,13.757,0.022,10.669,0.032,1.0,1.0,1.0,1.0,1.0,1.0,19.12229,0.008968336,18.44984,0.006494438,0000
11.996,0.006,11.699,0.009,7.864,0.009,12.265,0.006,11.983,0.009,8.285,0.009,17.0,17.0,17.0,17.0,1.0,1.0,17.83087,0.003462414,17.18236,0.00324758,0000
14.324,0.021,14.217,0.055,11.026,0.081,14.308,0.021,14.21,0.056,11.006,0.082,1.0,1.0,1.0,1.0,1.0,0.0,18.89227,0.007704267,18.53812,0.007249894,0000
13.842,0.012,13.699,0.018,10.498,0.031,13.783,0.012,13.625,0.018,10.392,0.031,0.0,0.0,0.0,0.0,0.0,0.0,19.35171,0.01028153,18.72308,0.007854539,0000
14.107,0.015,13.965,0.028,10.345,0.037,14.015,0.016,13.862,0.028,10.211,0.037,1.0,1.0,1.0,1.0,1.0,1.0,18.73354,0.006388537,18.23236,0.007513887,0000
13.679,0.011,13.548,0.027,10.067,0.058,13.702,0.012,13.572,0.028,10.095,0.06,1.0,1.0,1.0,1.0,1.0,1.0,19.01362,0.008686075,18.43799,0.007302148,0000
13.895,0.013,13.775,0.027,10.968,0.069,13.871,0.013,13.747,0.028,10.919,0.07,1.0,1.0,1.0,1.0,1.0,1.0,19.82631,0.01509768,18.92045,0.008875811,0000
13.819,0.009,13.792,0.023,10.996,0.05,13.822,0.009,13.796,0.023,10.995,0.05,1.0,1.0,1.0,1.0,1.0,1.0,19.28837,0.009664553,18.51188,0.006435067,0000
13.277,0.011,13.166,0.016,10.218,0.024,13.333,0.011,13.224,0.017,10.292,0.025,1.0,1.0,1.0,1.0,1.0,1.0,19.15487,0.008050497,18.20347,0.005878713,0000
13.114,0.01,12.971,0.023,9.852,0.045,13.167,0.01,13.022,0.024,9.913,0.047,1.0,1.0,1.0,1.0,1.0,1.0,18.85476,0.007644589,17.97099,0.005719345,0000
10.994,0.006,10.694,0.007,6.703,0.006,11.767,0.006,11.447,0.007,7.645,0.006,1.0,0.0,1.0,0.0,1.0,0.0,17.65913,0.0380436,17.19488,0.03360598,0000
13.183,0.008,13.09,0.016,9.898,0.022,13.207,0.008,13.117,0.016,9.937,0.023,1.0,1.0,1.0,1.0,1.0,1.0,18.01391,0.005066566,17.37371,0.006699769,0000
12.89,0.008,12.877,0.026,10.068,0.04,13.245,0.008,13.247,0.029,10.518,0.047,1.0,1.0,1.0,1.0,1.0,1.0,18.74902,0.00741161,18.21048,0.006091174,0000
13.055,0.009,13.018,0.022,9.756,0.031,13.247,0.01,13.225,0.022,10.011,0.033,1.0,1.0,1.0,1.0,1.0,1.0,18.80036,0.007522001,18.15655,0.005887264,0000
12.775,0.009,12.665,0.031,9.008,0.022,12.914,0.009,12.818,0.031,9.221,0.023,1.0,1.0,1.0,1.0,1.0,1.0,17.76739,0.004117528,17.21297,0.003333654,0000
13.235,0.01,13.091,0.017,10.2,0.042,13.227,0.01,13.066,0.017,10.203,0.043,0.0,1.0,0.0,1.0,0.0,0.0,1e+20,1e+20,1e+20,1e+20,0000
13.595,0.008,13.512,0.018,10.445,0.028,13.803,0.008,13.715,0.02,10.664,0.032,1.0,1.0,1.0,1.0,1.0,1.0,19.64139,0.0247083,18.87251,0.01237819,0000
12.217,0.006,12.168,0.008,9.425,0.013,12.362,0.006,12.329,0.008,9.626,0.013,0.0,0.0,0.0,0.0,0.0,0.0,17.30945,0.003017233,16.60668,0.002253841,0000
12.291,0.007,11.865,0.008,8.115,0.008,12.448,0.007,12.027,0.008,8.34,0.008,0.0,0.0,0.0,0.0,0.0,0.0,18.31236,0.006696378,17.71967,0.005622825,0000
12.651,0.011,12.436,0.013,8.764,0.011,12.751,0.011,12.549,0.014,8.915,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1e+20,1e+20,1e+20,1e+20,00P0
13.451,0.01,13.355,0.018,10.041,0.026,13.493,0.01,13.402,0.019,10.09,0.026,1.0,1.0,1.0,1.0,1.0,1.0,19.22152,0.0153333,18.66403,0.01171847,0000
13.136,0.009,13.087,0.017,10.639,0.085,13.12,0.009,13.063,0.017,10.582,0.085,1.0,1.0,1.0,1.0,1.0,1.0,18.55347,0.006676649,17.69839,0.004612844,0000
